CustomerKey,CustomerAlternateKey,Title,FirstName,LastName,EmailAddress
11000,AW00011000,NULL,Jon,Yang,jon24@adventure-works.com
11001,AW00011001,NULL,Eugene,Huang,eugene10@adventure-works.com
11002,AW00011002,NULL,Ruben,Torres,ruben35@adventure-works.com
11003,AW00011003,NULL,Christy,Zhu,christy12@adventure-works.com
11004,AW00011004,NULL,Elizabeth,Johnson,elizabeth5@adventure-works.com
11005,AW00011005,NULL,Julio,Ruiz,julio1@adventure-works.com
11006,AW00011006,NULL,Janet,Alvarez,janet9@adventure-works.com
11007,AW00011007,NULL,Marco,Mehta,marco14@adventure-works.com
11008,AW00011008,NULL,Rob,Verhoff,rob4@adventure-works.com
11009,AW00011009,NULL,Shannon,Carlson,shannon38@adventure-works.com
11010,AW00011010,NULL,Jacquelyn,Suarez,jacquelyn20@adventure-works.com
11011,AW00011011,NULL,Curtis,Lu,curtis9@adventure-works.com
11012,AW00011012,NULL,Lauren,Walker,lauren41@adventure-works.com
11013,AW00011013,NULL,Ian,Jenkins,ian47@adventure-works.com
11014,AW00011014,NULL,Sydney,Bennett,sydney23@adventure-works.com
11015,AW00011015,NULL,Chloe,Young,chloe23@adventure-works.com
11016,AW00011016,NULL,Wyatt,Hill,wyatt32@adventure-works.com
11017,AW00011017,NULL,Shannon,Wang,shannon1@adventure-works.com
11018,AW00011018,NULL,Clarence,Rai,clarence32@adventure-works.com
11019,AW00011019,NULL,Luke,Lal,luke18@adventure-works.com
11020,AW00011020,NULL,Jordan,King,jordan73@adventure-works.com
11021,AW00011021,NULL,Destiny,Wilson,destiny7@adventure-works.com
11022,AW00011022,NULL,Ethan,Zhang,ethan20@adventure-works.com
11023,AW00011023,NULL,Seth,Edwards,seth46@adventure-works.com
11024,AW00011024,NULL,Russell,Xie,russell7@adventure-works.com
11025,AW00011025,NULL,Alejandro,Beck,alejandro45@adventure-works.com
11026,AW00011026,NULL,Harold,Sai,harold3@adventure-works.com
11027,AW00011027,NULL,Jessie,Zhao,jessie16@adventure-works.com
11028,AW00011028,NULL,Jill,Jimenez,jill13@adventure-works.com
11029,AW00011029,NULL,Jimmy,Moreno,jimmy9@adventure-works.com
11030,AW00011030,NULL,Bethany,Yuan,bethany10@adventure-works.com
11031,AW00011031,NULL,Theresa,Ramos,theresa13@adventure-works.com
11032,AW00011032,NULL,Denise,Stone,denise10@adventure-works.com
11033,AW00011033,NULL,Jaime,Nath,jaime41@adventure-works.com
11034,AW00011034,NULL,Ebony,Gonzalez,ebony19@adventure-works.com
11035,AW00011035,NULL,Wendy,Dominguez,wendy12@adventure-works.com
11036,AW00011036,NULL,Jennifer,Russell,jennifer93@adventure-works.com
11037,AW00011037,NULL,Chloe,Garcia,chloe27@adventure-works.com
11038,AW00011038,NULL,Diana,Hernandez,diana2@adventure-works.com
11039,AW00011039,NULL,Marc,Martin,marc3@adventure-works.com
11040,AW00011040,NULL,Jesse,Murphy,jesse15@adventure-works.com
11041,AW00011041,NULL,Amanda,Carter,amanda53@adventure-works.com
11042,AW00011042,NULL,Megan,Sanchez,megan28@adventure-works.com
11043,AW00011043,NULL,Nathan,Simmons,nathan11@adventure-works.com
11044,AW00011044,NULL,Adam,Flores,adam10@adventure-works.com
11045,AW00011045,NULL,Leonard,Nara,leonard18@adventure-works.com
11046,AW00011046,NULL,Christine,Yuan,christine4@adventure-works.com
11047,AW00011047,NULL,Jaclyn,Lu,jaclyn12@adventure-works.com
11048,AW00011048,NULL,Jeremy,Powell,jeremy26@adventure-works.com
11049,AW00011049,NULL,Carol,Rai,carol8@adventure-works.com
11050,AW00011050,NULL,Alan,Zheng,alan23@adventure-works.com
11051,AW00011051,NULL,Daniel,Johnson,daniel18@adventure-works.com
11052,AW00011052,NULL,Heidi,Lopez,heidi19@adventure-works.com
11053,AW00011053,NULL,Ana,Price,ana0@adventure-works.com
